subNum	 version	 completed	 trialNo	 easySide	 targPresent	key	 targSide	 RT	 accuracy	 var	 con
6	 N	1	17	 x	0	 r	 x	1.658	1	1.7	 full
6	 N	1	18	 R	0	 r	 x	1.819	1	 x	 half
6	 N	1	19	 L	1	 l	 left	1.579	1	 x	 half
6	 N	1	20	 x	1	 l	 right	1.588	1	1.7	 full
6	 N	1	21	 x	0	 r	 x	1.698	1	1.7	 full
6	 N	1	22	 R	1	 l	 left	1.609	1	 x	 half
6	 N	1	23	 x	1	 l	 left	1.499	1	1.7	 full
6	 N	1	24	 R	1	 l	 right	1.759	1	 x	 half
6	 N	1	25	 x	0	 r	 x	1.572	1	6	 full
6	 N	1	26	 x	0	 r	 x	1.592	1	6	 full
6	 N	1	27	 L	0	 r	 x	1.768	1	 x	 half
6	 N	1	28	 x	0	 r	 x	1.629	1	6	 full
