subNum	 version	 completed	 trialNo	 easySide	 targPresent	key	 targSide	 RT	 accuracy	 var	 con
8	 T	2	84	 x	1	 r	 right	3.299	0	1.7	 full
8	 T	2	85	 x	1	 l	 left	2.277	1	1.7	 full
8	 T	2	86	 R	1	 l	 left	3.386	1	 x	 half
8	 T	2	87	 x	0	 l	 x	3.558	0	1.7	 full
8	 T	2	88	 x	0	 r	 x	1.679	1	6	 full
8	 T	2	89	 x	0	 r	 x	1.989	1	1.7	 full
8	 T	2	90	 x	0	 r	 x	1.87	1	1.7	 full
8	 T	2	91	 x	1	 l	 left	1.619	1	6	 full
8	 T	2	92	 x	1	 l	 left	1.495	1	6	 full
8	 T	2	93	 x	0	 r	 x	1.825	1	6	 full
8	 T	2	94	 L	0	 r	 x	2.648	1	 x	 half
8	 T	2	95	 x	1	 l	 left	1.539	1	6	 full
8	 T	2	96	 x	0	 r	 x	3.397	1	1.7	 full
8	 T	2	97	 x	1	 l	 right	2.718	1	1.7	 full
8	 T	2	98	 L	1	 l	 left	1.574	1	 x	 half
8	 T	2	99	 x	1	 l	 right	1.519	1	6	 full
8	 T	2	100	 x	0	 r	 x	2.12	1	1.7	 full
8	 T	2	101	 x	0	 l	 x	1.915	0	1.7	 full
8	 T	2	102	 x	0	 r	 x	3.032	1	1.7	 full
8	 T	2	103	 x	1	 l	 right	1.578	1	6	 full
8	 T	2	104	 x	1	 l	 left	1.855	1	1.7	 full
8	 T	2	105	 R	1	 l	 left	4.058	1	 x	 half
8	 T	2	106	 x	1	 l	 left	2.218	1	1.7	 full
8	 T	2	107	 R	0	 r	 x	3.498	1	 x	 half
8	 T	2	108	 x	0	 r	 x	1.589	1	6	 full
8	 T	2	109	 x	0	 r	 x	1.727	1	6	 full
8	 T	2	110	 x	0	 r	 x	1.519	1	6	 full
8	 T	2	111	 R	0	 r	 x	3.028	1	 x	 half
8	 T	2	112	 L	0	 l	 x	3.333	0	 x	 half
8	 T	2	113	 L	1	 l	 right	1.816	1	 x	 half
8	 T	2	114	 R	1	 r	 left	3.468	0	 x	 half
8	 T	2	115	 x	1	 l	 right	1.697	1	6	 full
8	 T	2	116	 x	1	 l	 right	1.499	1	6	 full
8	 T	2	117	 x	1	 l	 left	1.578	1	6	 full
8	 T	2	118	 L	1	 l	 right	1.509	1	 x	 half
8	 T	2	119	 x	0	 r	 x	1.92	1	1.7	 full
8	 T	2	120	 x	1	 l	 left	1.789	1	1.7	 full
8	 T	2	121	 x	0	 r	 x	2.467	1	1.7	 full
8	 T	2	122	 x	1	 r	 left	2.447	0	1.7	 full
8	 T	2	123	 R	1	 l	 right	1.599	1	 x	 half
8	 T	2	124	 x	1	 x	 left	1.573	1	6	 full
8	 T	2	125	 x	0	 r	 x	8.112	1	1.7	 full
8	 T	2	126	 L	0	 r	 x	3.346	1	 x	 half
8	 T	2	127	 x	1	 l	 left	2.359	1	1.7	 full
8	 T	2	128	 x	0	 r	 x	2.258	1	1.7	 full
8	 T	2	129	 x	0	 r	 x	3.368	1	1.7	 full
8	 T	2	130	 R	1	 l	 right	1.529	1	 x	 half
8	 T	2	131	 R	0	 r	 x	3.659	1	 x	 half
8	 T	2	132	 x	1	 l	 left	1.641	1	1.7	 full
8	 T	2	133	 x	1	 l	 right	3.508	1	1.7	 full
8	 T	2	134	 R	1	 l	 left	3.099	1	 x	 half
8	 T	2	135	 L	0	 r	 x	3.423	1	 x	 half
8	 T	2	136	 x	1	 l	 right	1.567	1	6	 full
8	 T	2	137	 x	0	 r	 x	1.767	1	6	 full
8	 T	2	138	 L	1	 l	 left	1.679	1	 x	 half
8	 T	2	139	 x	0	 r	 x	2.108	1	6	 full
8	 T	2	140	 x	0	 r	 x	2.799	1	1.7	 full
8	 T	2	141	 x	1	 l	 right	2.448	1	1.7	 full
8	 T	2	142	 x	1	 l	 right	1.528	1	6	 full
8	 T	2	143	 R	0	 r	 x	3.448	1	 x	 half
8	 T	2	144	 x	1	 l	 left	1.603	1	6	 full
8	 T	2	145	 x	1	 l	 right	1.57	1	6	 full
8	 T	2	146	 R	0	 r	 x	3.577	1	 x	 half
8	 T	2	147	 x	0	 r	 x	2.367	1	1.7	 full
8	 T	2	148	 R	0	 r	 x	3.129	1	 x	 half
8	 T	2	149	 x	0	 r	 x	2.28	1	1.7	 full
8	 T	2	150	 x	1	 l	 left	1.767	1	1.7	 full
8	 T	2	151	 x	1	 l	 right	1.849	1	1.7	 full
8	 T	2	152	 x	1	 x	 left	1.699	1	1.7	 full
8	 T	2	153	 L	1	 l	 left	1.612	1	 x	 half
8	 T	2	154	 x	0	 r	 x	2.828	1	1.7	 full
8	 T	2	155	 x	0	 r	 x	1.968	1	6	 full
8	 T	2	156	 R	1	 r	 left	1.969	0	 x	 half
8	 T	2	157	 x	0	 l	 x	3.377	0	1.7	 full
8	 T	2	158	 x	1	 r	 right	2.651	0	1.7	 full
8	 T	2	159	 R	1	 l	 right	1.67	1	 x	 half
8	 T	2	160	 x	0	 r	 x	1.889	1	6	 full
8	 T	2	161	 R	0	 r	 x	3.396	1	 x	 half
8	 T	2	162	 x	0	 l	 x	3.508	0	1.7	 full
8	 T	2	163	 x	1	 l	 left	1.568	1	6	 full
8	 T	2	164	 R	1	 l	 right	1.599	1	 x	 half
8	 T	2	165	 L	1	 l	 left	1.692	1	 x	 half
8	 T	2	166	 x	0	 r	 x	1.778	1	6	 full
8	 T	2	167	 L	0	 r	 x	3.464	1	 x	 half
8	 T	2	168	 x	1	 l	 left	1.827	1	6	 full
8	 T	2	169	 x	1	 l	 left	1.59	1	6	 full
8	 T	2	170	 x	1	 l	 left	1.679	1	1.7	 full
8	 T	2	171	 x	0	 r	 x	2.458	1	1.7	 full
8	 T	2	172	 x	0	 r	 x	1.958	1	6	 full
8	 T	2	173	 x	1	 l	 right	1.686	1	1.7	 full
8	 T	2	174	 x	1	 l	 right	1.52	1	6	 full
8	 T	2	175	 R	0	 r	 x	1.939	1	 x	 half
8	 T	2	176	 x	0	 r	 x	1.738	1	6	 full
8	 T	2	177	 R	1	 l	 right	1.649	1	 x	 half
8	 T	2	178	 x	1	 l	 right	1.534	1	6	 full
8	 T	2	179	 R	1	 l	 right	1.708	1	 x	 half
8	 T	2	180	 x	1	 l	 right	1.628	1	1.7	 full
8	 T	2	181	 x	0	 r	 x	1.785	1	6	 full
8	 T	2	182	 x	0	 r	 x	1.886	1	1.7	 full
8	 T	2	183	 x	0	 r	 x	1.75	1	1.7	 full
8	 T	2	184	 x	1	 r	 left	1.828	0	1.7	 full
8	 T	2	185	 x	1	 l	 left	1.46	1	6	 full
8	 T	2	186	 x	0	 r	 x	3.038	1	1.7	 full
8	 T	2	187	 R	1	 l	 right	1.649	1	 x	 half
8	 T	2	188	 L	1	 l	 left	1.615	1	 x	 half
8	 T	2	189	 x	1	 l	 left	1.539	1	6	 full
8	 T	2	190	 L	1	 l	 right	2.09	1	 x	 half
8	 T	2	191	 x	0	 r	 x	1.729	1	6	 full
8	 T	2	192	 x	0	 r	 x	3.097	1	1.7	 full
8	 T	2	193	 x	0	 r	 x	1.83	1	1.7	 full
8	 T	2	194	 x	1	 l	 left	1.51	1	6	 full
8	 T	2	195	 x	0	 r	 x	1.598	1	6	 full
8	 T	2	196	 x	1	 l	 left	1.589	1	6	 full
8	 T	2	197	 L	0	 r	 x	3.314	1	 x	 half
8	 T	2	198	 x	0	 r	 x	1.949	1	1.7	 full
8	 T	2	199	 x	0	 r	 x	1.869	1	1.7	 full
8	 T	2	200	 x	0	 r	 x	1.918	1	6	 full
8	 T	2	201	 x	1	 l	 left	1.86	1	1.7	 full
8	 T	2	202	 x	1	 l	 right	1.93	1	1.7	 full
8	 T	2	203	 x	1	 r	 right	1.978	0	1.7	 full
8	 T	2	204	 L	1	 r	 right	2.917	0	 x	 half
8	 T	2	205	 R	0	 r	 x	3.565	1	 x	 half
8	 T	2	206	 L	1	 l	 left	1.569	1	 x	 half
8	 T	2	207	 R	0	 r	 x	1.86	1	 x	 half
8	 T	2	208	 x	0	 r	 x	2.899	1	1.7	 full
8	 T	2	209	 L	0	 r	 x	2.407	1	 x	 half
8	 T	2	210	 R	0	 r	 x	2.508	1	 x	 half
8	 T	2	211	 x	1	 l	 left	1.559	1	6	 full
8	 T	2	212	 x	1	 l	 right	2.847	1	1.7	 full
8	 T	2	213	 x	1	 l	 right	1.629	1	1.7	 full
8	 T	2	214	 x	1	 l	 right	3.378	1	1.7	 full
8	 T	2	215	 R	0	 r	 x	2.286	1	 x	 half
8	 T	2	216	 x	1	 l	 left	1.556	1	6	 full
8	 T	2	217	 x	1	 l	 left	1.569	1	6	 full
8	 T	2	218	 L	1	 l	 left	1.65	1	 x	 half
8	 T	2	219	 x	0	 r	 x	1.869	1	6	 full
8	 T	2	220	 L	0	 r	 x	2.748	1	 x	 half
8	 T	2	221	 R	1	 l	 right	1.661	1	 x	 half
8	 T	2	222	 R	0	 r	 x	3.956	1	 x	 half
8	 T	2	223	 x	0	 r	 x	2.492	1	1.7	 full
8	 T	2	224	 L	0	 r	 x	2.503	1	 x	 half
8	 T	2	225	 x	0	 r	 x	1.672	1	6	 full
8	 T	2	226	 x	1	 l	 right	1.519	1	6	 full
8	 T	2	227	 L	0	 r	 x	2.198	1	 x	 half
8	 T	2	228	 x	0	 r	 x	1.798	1	1.7	 full
8	 T	2	229	 R	1	 l	 right	1.598	1	 x	 half
8	 T	2	230	 x	0	 r	 x	2.13	1	1.7	 full
8	 T	2	231	 x	1	 l	 right	1.484	1	6	 full
8	 T	2	232	 x	0	 r	 x	1.704	1	1.7	 full
8	 T	2	233	 x	1	 l	 left	3.667	1	1.7	 full
8	 T	2	234	 x	0	 r	 x	1.999	1	6	 full
8	 T	2	235	 x	0	 r	 x	3.496	1	1.7	 full
8	 T	2	236	 R	0	 r	 x	2.148	1	 x	 half
8	 T	2	237	 x	1	 l	 right	1.589	1	6	 full
8	 T	2	238	 x	1	 r	 right	2.468	0	1.7	 full
8	 T	2	239	 x	1	 l	 left	1.554	1	6	 full
8	 T	2	240	 R	1	 r	 left	3.159	0	 x	 half
8	 N	1	1	 x	0	 l	 x	4.566	0	6	 full
8	 N	1	2	 R	1	 r	 left	11.806	0	 x	 half
8	 N	1	3	 x	0	 r	 x	6.644	1	6	 full
8	 N	1	4	 L	1	 r	 right	17.005	0	 x	 half
8	 N	1	5	 x	1	 l	 left	34.59	1	1.7	 full
8	 N	1	6	 x	0	 r	 x	8.849	1	6	 full
8	 N	1	7	 x	0	 r	 x	28.655	1	1.7	 full
8	 N	1	8	 x	1	 r	 left	25.159	0	1.7	 full
8	 N	1	9	 x	0	 r	 x	9.441	1	6	 full
8	 N	1	10	 x	0	 r	 x	5.835	1	6	 full
8	 N	1	11	 x	1	 l	 right	6.345	1	1.7	 full
8	 N	1	12	 x	1	 l	 right	10.032	1	1.7	 full
