"subj","targSide","version","completed","condition","acc"
"11","hetrogeneous","timed","first","half",0.8
"13","hetrogeneous","timed","first","half",0.733333333333333
"15","hetrogeneous","timed","first","half",0.466666666666667
"17","hetrogeneous","timed","first","half",0.733333333333333
"19","hetrogeneous","timed","first","half",0.733333333333333
"3","homogeneous","timed","first","half",1
"5","homogeneous","timed","first","half",1
"7","homogeneous","timed","first","half",0.96
"9","homogeneous","timed","first","half",0.88
"11","homogeneous","timed","first","half",1
"13","homogeneous","timed","first","half",1
"15","homogeneous","timed","first","half",0.88
"17","homogeneous","timed","first","half",1
"19","homogeneous","timed","first","half",1
"3","absent","timed","first","half",0.9
"5","absent","timed","first","half",0.975
"7","absent","timed","first","half",0.875
"9","absent","timed","first","half",0.9
"11","absent","timed","first","half",0.9
"13","absent","timed","first","half",0.95
"15","absent","timed","first","half",0.85
"17","absent","timed","first","half",1
"19","absent","timed","first","half",0.95
"3","hetrogeneous","untimed","second","half",0.533333333333333
"5","hetrogeneous","untimed","second","half",0.666666666666667
"7","hetrogeneous","untimed","second","half",0.4
"9","hetrogeneous","untimed","second","half",0.8
"11","hetrogeneous","untimed","second","half",0.666666666666667
"13","hetrogeneous","untimed","second","half",1
"15","hetrogeneous","untimed","second","half",0.8
"17","hetrogeneous","untimed","second","half",0.8
"19","hetrogeneous","untimed","second","half",0.733333333333333
"3","homogeneous","untimed","second","half",1
"5","homogeneous","untimed","second","half",1
"7","homogeneous","untimed","second","half",1
"9","homogeneous","untimed","second","half",1
"11","homogeneous","untimed","second","half",1
"13","homogeneous","untimed","second","half",1
"15","homogeneous","untimed","second","half",1
"17","homogeneous","untimed","second","half",1
"19","homogeneous","untimed","second","half",0.96
"3","absent","untimed","second","half",0.95
"5","absent","untimed","second","half",1
"7","absent","untimed","second","half",0.875
"9","absent","untimed","second","half",1
"11","absent","untimed","second","half",0.95
"13","absent","untimed","second","half",1
"15","absent","untimed","second","half",1
"17","absent","untimed","second","half",1
"19","absent","untimed","second","half",1
"2","hetrogeneous","timed","second","half",0.666666666666667
"4","hetrogeneous","timed","second","half",0.533333333333333
"6","hetrogeneous","timed","second","half",0.8
"8","hetrogeneous","timed","second","half",0.666666666666667
"10","hetrogeneous","timed","second","half",0.866666666666667
"14","hetrogeneous","timed","second","half",0.866666666666667
"16","hetrogeneous","timed","second","half",0.466666666666667
"18","hetrogeneous","timed","second","half",0.8
"20","hetrogeneous","timed","second","half",0.8
"2","homogeneous","timed","second","half",1
"4","homogeneous","timed","second","half",1
"6","homogeneous","timed","second","half",1
"8","homogeneous","timed","second","half",1
"10","homogeneous","timed","second","half",1
"14","homogeneous","timed","second","half",1
"16","homogeneous","timed","second","half",1
"18","homogeneous","timed","second","half",1
"20","homogeneous","timed","second","half",1
"2","absent","timed","second","half",1
"4","absent","timed","second","half",1
"6","absent","timed","second","half",0.95
"8","absent","timed","second","half",0.95
"10","absent","timed","second","half",1
"14","absent","timed","second","half",0.925
"16","absent","timed","second","half",1
"18","absent","timed","second","half",1
"20","absent","timed","second","half",0.725
